index,gscpi
2007-01-01,-0.58
2007-02-01,-0.56
2007-03-01,-0.49
2007-04-01,-0.77
2007-05-01,-0.33
2007-06-01,-0.29
2007-07-01,-0.45
2007-08-01,-0.1
2007-09-01,-0.08
2007-10-01,-0.72
2007-11-01,-0.71
2007-12-01,-0.15
2008-01-01,-0.54
2008-02-01,0.26
2008-03-01,0.05
2008-04-01,0.11
2008-05-01,-0.02
2008-06-01,0.14
2008-07-01,0.74
2008-08-01,0.35
2008-09-01,-0.32
2008-10-01,-0.24
2008-11-01,-1.24
2008-12-01,-0.89
2009-01-01,-0.43
2009-02-01,-0.02
2009-03-01,0.36
2009-04-01,0.47
2009-05-01,0.03
2009-06-01,-0.4
2009-07-01,-0.7
2009-08-01,-1.17
2009-09-01,-0.67
2009-10-01,-0.79
2009-11-01,-0.9
2009-12-01,-0.64
2010-01-01,-0.36
2010-02-01,-0.05
2010-03-01,0.26
2010-04-01,0.26
2010-05-01,0.65
2010-06-01,0.19
2010-07-01,-0.11
2010-08-01,0.03
2010-09-01,0.12
2010-10-01,0.26
2010-11-01,0.4
2010-12-01,0.71
2011-01-01,0.58
2011-02-01,0.17
2011-03-01,0.54
2011-04-01,1.35
2011-05-01,0.78
2011-06-01,0.08
2011-07-01,0.1
2011-08-01,-0.14
2011-09-01,-0.32
2011-10-01,-0.18
2011-11-01,0.13
2011-12-01,0.09
2012-01-01,0.37
2012-02-01,0.04
2012-03-01,-0.13
2012-04-01,-0.21
2012-05-01,-0.53
2012-06-01,-0.61
2012-07-01,-0.75
2012-08-01,-0.17
2012-09-01,-0.31
2012-10-01,-0.1
2012-11-01,-0.46
2012-12-01,-0.16
2013-01-01,0.02
2013-02-01,-0.21
2013-03-01,-0.41
2013-04-01,-0.57
2013-05-01,-0.79
2013-06-01,-0.59
2013-07-01,-0.65
2013-08-01,-0.67
2013-09-01,-0.46
2013-10-01,-0.29
2013-11-01,-0.72
2013-12-01,-0.51
2014-01-01,-0.55
2014-02-01,-0.3
2014-03-01,-0.61
2014-04-01,-0.95
2014-05-01,-0.95
2014-06-01,-0.74
2014-07-01,-0.8
2014-08-01,-0.59
2014-09-01,-0.63
2014-10-01,-0.41
2014-11-01,-0.57
2014-12-01,-0.23
2015-01-01,-0.51
2015-02-01,-0.15
2015-03-01,-0.25
2015-04-01,-0.5
2015-05-01,-0.43
2015-06-01,-0.72
2015-07-01,-0.29
2015-08-01,-0.49
2015-09-01,-0.38
2015-10-01,-0.41
2015-11-01,-0.5
2015-12-01,-0.47
2016-01-01,-0.59
2016-02-01,-0.67
2016-03-01,-0.75
2016-04-01,-0.43
2016-05-01,-0.49
2016-06-01,-0.27
2016-07-01,-0.11
2016-08-01,0.03
2016-09-01,-0.16
2016-10-01,0.17
2016-11-01,0.0
2016-12-01,0.08
2017-01-01,0.14
2017-02-01,0.0
2017-03-01,0.08
2017-04-01,0.02
2017-05-01,-0.12
2017-06-01,0.16
2017-07-01,0.1
2017-08-01,0.32
2017-09-01,0.58
2017-10-01,0.87
2017-11-01,0.72
2017-12-01,0.64
2018-01-01,0.54
2018-02-01,0.14
2018-03-01,0.45
2018-04-01,0.59
2018-05-01,0.5
2018-06-01,0.55
2018-07-01,0.66
2018-08-01,0.56
2018-09-01,0.58
2018-10-01,0.63
2018-11-01,0.53
2018-12-01,0.52
2019-01-01,0.56
2019-02-01,0.27
2019-03-01,0.38
2019-04-01,0.16
2019-05-01,-0.4
2019-06-01,-0.52
2019-07-01,-0.42
2019-08-01,-0.17
2019-09-01,0.07
2019-10-01,0.01
2019-11-01,0.06
2019-12-01,0.1
2020-01-01,-0.03
2020-02-01,1.23
2020-03-01,2.66
2020-04-01,3.16
2020-05-01,2.3
2020-06-01,1.8
2020-07-01,2.63
2020-08-01,1.28
2020-09-01,0.46
2020-10-01,0.02
2020-11-01,0.67
2020-12-01,1.62
2021-01-01,1.57
2021-02-01,2.04
2021-03-01,2.36
2021-04-01,2.77
2021-05-01,3.04
2021-06-01,2.85
2021-07-01,2.74
2021-08-01,3.33
2021-09-01,3.41
2021-10-01,4.0
2021-11-01,4.27
2021-12-01,4.29
2022-01-01,3.73
2022-02-01,2.77
2022-03-01,2.93
2022-04-01,3.52
2022-05-01,2.95
2022-06-01,2.65
2022-07-01,2.1
2022-08-01,1.8
2022-09-01,1.71
2022-10-01,1.72
2022-11-01,1.34
2022-12-01,1.18
2023-01-01,1.01
2023-02-01,0.14
2023-03-01,-0.77
2023-04-01,-0.93
2023-05-01,-1.2
2023-06-01,-0.88
2023-07-01,-0.77
2023-08-01,-0.61
2023-09-01,-0.35
2023-10-01,-0.22
2023-11-01,0.04
2023-12-01,-0.22
2024-01-01,-0.14
2024-02-01,-0.1
2024-03-01,-0.33
2024-04-01,-0.72
2024-05-01,-0.5
2024-06-01,-0.03
