"Debt service indicators of households, national balance sheet accounts (x 1,000,000)",,,
Frequency: Quarterly,,,
Table: 11-10-0065-01,,,
Release date: 2024-03-13,,,
Geography: Canada,,,
,,,
,,,
,,,
Geography,Canada,,
Q3 2003,"1,001,496","661,492","53,628"
Q4 2003,"1,013,376","669,092","53,236"
Q1 2004,"1,031,976","678,048","54,360"
Q2 2004,"1,046,444","694,356","54,012"
Q3 2004,"1,059,880","702,448","54,036"
Q4 2004,"1,072,216","706,096","54,456"
Q1 2005,"1,080,420","703,856","56,852"
Q2 2005,"1,101,560","719,692","57,984"
Q3 2005,"1,116,248","724,884","59,112"
Q4 2005,"1,129,340","737,612","59,048"
Q1 2006,"1,165,716","759,840","63,740"
Q2 2006,"1,171,792","760,588","67,196"
Q3 2006,"1,197,376","781,244","70,404"
Q4 2006,"1,217,940","795,824","72,720"
Q1 2007,"1,238,828","812,260","74,536"
Q2 2007,"1,267,240","810,396","77,560"
Q3 2007,"1,278,304","814,508","79,796"
Q4 2007,"1,294,092","828,116","82,652"
Q1 2008,"1,321,476","843,608","83,084"
Q2 2008,"1,321,288","858,020","82,820"
Q3 2008,"1,333,848","874,716","82,676"
Q4 2008,"1,328,292","873,268","79,092"
Q1 2009,"1,322,648","869,928","75,316"
Q2 2009,"1,316,688","874,224","72,208"
Q3 2009,"1,327,080","891,036","71,920"
Q4 2009,"1,336,012","903,940","71,640"
Q1 2010,"1,345,604","925,300","72,184"
Q2 2010,"1,363,764","913,868","73,588"
Q3 2010,"1,376,060","928,072","73,276"
Q4 2010,"1,402,528","945,124","74,460"
Q1 2011,"1,417,848","950,388","76,288"
Q2 2011,"1,431,612","953,648","74,740"
Q3 2011,"1,445,464","962,860","75,100"
Q4 2011,"1,456,528","981,496","75,272"
Q1 2012,"1,479,616","989,444","74,804"
Q2 2012,"1,492,748","994,088","75,632"
Q3 2012,"1,508,396","1,006,960","75,752"
Q4 2012,"1,522,516","1,014,516","74,904"
Q1 2013,"1,542,000","1,036,240","75,880"
Q2 2013,"1,551,472","1,042,016","76,156"
Q3 2013,"1,565,760","1,048,424","77,104"
Q4 2013,"1,583,824","1,060,496","77,100"
Q1 2014,"1,594,888","1,067,684","76,988"
Q2 2014,"1,607,092","1,073,324","76,972"
Q3 2014,"1,625,304","1,091,132","77,516"
Q4 2014,"1,638,136","1,094,480","78,252"
Q1 2015,"1,665,948","1,117,748","78,208"
Q2 2015,"1,685,208","1,127,520","76,780"
Q3 2015,"1,697,072","1,136,328","77,248"
Q4 2015,"1,708,408","1,137,924","77,076"
Q1 2016,"1,683,472","1,107,644","77,260"
Q2 2016,"1,696,164","1,128,120","78,916"
Q3 2016,"1,709,168","1,141,024","78,228"
Q4 2016,"1,728,392","1,154,244","79,048"
Q1 2017,"1,739,208","1,158,008","79,960"
Q2 2017,"1,765,116","1,179,116","81,108"
Q3 2017,"1,796,740","1,203,920","82,732"
Q4 2017,"1,818,752","1,216,424","85,600"
Q1 2018,"1,831,352","1,215,708","88,508"
Q2 2018,"1,841,832","1,216,444","91,416"
Q3 2018,"1,859,040","1,222,984","94,464"
Q4 2018,"1,884,836","1,244,536","97,676"
Q1 2019,"1,900,724","1,251,160","101,012"
Q2 2019,"1,932,380","1,274,800","101,892"
Q3 2019,"1,949,412","1,287,348","103,980"
Q4 2019,"1,978,644","1,308,140","104,000"
Q1 2020,"1,992,724","1,323,752","102,960"
Q2 2020,"2,084,016","1,452,184","97,284"
Q3 2020,"2,055,404","1,393,800","94,476"
Q4 2020,"2,047,048","1,380,908","92,916"
Q1 2021,"2,112,456","1,436,296","91,872"
Q2 2021,"2,133,316","1,430,476","93,104"
Q3 2021,"2,162,232","1,444,072","90,680"
Q4 2021,"2,160,964","1,430,636","90,888"
Q1 2022,"2,227,976","1,486,416","92,532"
Q2 2022,"2,254,204","1,500,296","102,040"
Q3 2022,"2,294,892","1,515,400","116,860"
Q4 2022,"2,354,768","1,555,044","133,248"
Q1 2023,"2,395,948","1,561,056","147,772"
Q2 2023,"2,436,272","1,579,396","156,376"
Q3 2023,"2,486,872","1,614,088","162,076"
Q4 2023,"2,521,040","1,634,892","164,800"
,,,
,,,
,,,
,,,
Footnotes:,,,
1,Household debt service indicators.,,
,,,
,,,
,,,
"How to cite: Statistics Canada. Table 11-10-0065-01  Debt service indicators of households, national balance sheet accounts",,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110006501,,,
