index,Average weekly earnings including overtime for all employees
2014-05-01,935.8
2014-06-01,936.72
2014-07-01,942.44
2014-08-01,940.2
2014-09-01,940.26
2014-10-01,941.93
2014-11-01,938.78
2014-12-01,939.82
2015-01-01,948.62
2015-02-01,949.67
2015-03-01,951.64
2015-04-01,954.18
2015-05-01,948.15
2015-06-01,953.17
2015-07-01,957.1
2015-08-01,945.19
2015-09-01,954.12
2015-10-01,955.5
2015-11-01,951.5
2015-12-01,954.61
2016-01-01,949.91
2016-02-01,954.03
2016-03-01,955.68
2016-04-01,953.03
2016-05-01,954.2
2016-06-01,956.86
2016-07-01,957.06
2016-08-01,958.9
2016-09-01,955.84
2016-10-01,955.16
2016-11-01,960.07
2016-12-01,967.96
2017-01-01,967.03
2017-02-01,964.46
2017-03-01,966.84
2017-04-01,971.1
2017-05-01,969.15
2017-06-01,971.93
2017-07-01,969.84
2017-08-01,976.99
2017-09-01,986.04
2017-10-01,983.7
2017-11-01,991.21
2017-12-01,991.87
2018-01-01,991.76
2018-02-01,998.86
2018-03-01,997.92
2018-04-01,993.21
2018-05-01,993.28
2018-06-01,1001.97
2018-07-01,1000.02
2018-08-01,1005.9
2018-09-01,1001.1
2018-10-01,1007.76
2018-11-01,1011.8
2018-12-01,1009.65
2019-01-01,1009.58
2019-02-01,1009.54
2019-03-01,1014.58
2019-04-01,1017.32
2019-05-01,1028.61
2019-06-01,1022.33
2019-07-01,1028.0
2019-08-01,1032.0
2019-09-01,1039.33
2019-10-01,1046.72
2019-11-01,1043.26
2019-12-01,1046.37
2020-01-01,1046.73
2020-02-01,1045.52
2020-03-01,1046.41
2020-04-01,1112.71
2020-05-01,1132.41
2020-06-01,1117.03
2020-07-01,1112.48
2020-08-01,1108.83
2020-09-01,1108.18
2020-10-01,1108.19
2020-11-01,1113.59
2020-12-01,1120.03
2021-01-01,1129.41
2021-02-01,1134.17
2021-03-01,1117.87
2021-04-01,1123.08
2021-05-01,1128.26
2021-06-01,1122.11
2021-07-01,1128.57
2021-08-01,1132.48
2021-09-01,1135.56
2021-10-01,1134.51
2021-11-01,1133.6
2021-12-01,1142.05
2022-01-01,1150.95
2022-02-01,1158.96
2022-03-01,1165.84
2022-04-01,1159.66
2022-05-01,1157.75
2022-06-01,1161.59
2022-07-01,1162.77
2022-08-01,1167.55
2022-09-01,1170.8
2022-10-01,1174.08
2022-11-01,1178.34
2022-12-01,1174.34
2023-01-01,1182.17
2023-02-01,1179.06
2023-03-01,1185.85
2023-04-01,1196.08
2023-05-01,1201.0
2023-06-01,1204.74
2023-07-01,1213.21
2023-08-01,1214.31
2023-09-01,1217.47
2023-10-01,1220.31
2023-11-01,1224.38
2023-12-01,1219.9
2024-01-01,1226.39
2024-02-01,1230.05
2024-03-01,1234.94
2024-04-01,1240.18
