Date,WUI
2021-02-01,"9,050.3"
2021-03-01,"13,602.1"
2021-04-01,"14,890.0"
2021-05-01,"15,392.9"
2021-06-01,"21,543.4"
2021-07-01,"19,371.4"
2021-08-01,"17,169.7"
2021-09-01,"23,904.0"
2021-10-01,"10,477.8"
2021-11-01,"14,556.5"
2021-12-01,"28,225.8"
2022-01-01,"25,576.8"
2022-02-01,"25,212.7"
2022-03-01,"27,256.8"
2022-04-01,"41,669.1"
2022-05-01,"25,064.4"
2022-06-01,"23,022.7"
2022-07-01,"19,588.1"
2022-08-01,"31,577.9"
2022-09-01,"22,559.7"
2022-10-01,"28,962.7"
2022-11-01,"34,628.5"
2022-12-01,"17,406.0"
2023-01-01,"29,339.8"
2023-02-01,"32,027.8"
2023-03-01,"17,736.5"
2023-04-01,"37,638.8"
2023-05-01,"37,309.4"
2023-06-01,"17,679.0"
2023-07-01,"15,649.5"
2023-08-01,"22,258.0"
2023-09-01,"16,389.5"
2023-10-01,"15,354.5"
2023-11-01,"17,278.8"
2023-12-01,"17,109.0"
2024-01-01,"17,865.7"
2024-02-01,"16,358.1"
2024-03-01,"17,273.9"
2024-04-01,"16,746.0"
2024-05-01,"15,083.3"
2024-06-01,"14,606.0"
2024-07-01,"15,929.9"
2024-08-01,"21,425.4"
2024-09-01,"20,372.4"
2024-10-01,"21,669.2"
2024-11-01,"24,333.0"
2024-12-01,"30,375.6"
2025-01-01,"41,383.2"
2025-02-01,"48,816.0"
2025-03-01,"53,189.5"
2025-04-01,"72,733.5"
2025-05-01,"77,997.7"
2025-06-01,"84,305.3"
2025-07-01,"95,509.3"
2025-08-01,"105,558.3"
,
