index,RECPROUSM156N
2002-08-01,0.86
2002-09-01,0.72
2002-10-01,0.72
2002-11-01,0.78
2002-12-01,1.24
2003-01-01,0.72
2003-02-01,1.0
2003-03-01,0.84
2003-04-01,0.56
2003-05-01,0.3
2003-06-01,0.32
2003-07-01,0.22
2003-08-01,0.3
2003-09-01,0.16
2003-10-01,0.16
2003-11-01,0.16
2003-12-01,0.32
2004-01-01,0.22
2004-02-01,0.1
2004-03-01,0.06
2004-04-01,0.16
2004-05-01,0.1
2004-06-01,0.44
2004-07-01,0.12
2004-08-01,0.12
2004-09-01,0.1
2004-10-01,0.12
2004-11-01,0.14
2004-12-01,0.12
2005-01-01,0.18
2005-02-01,0.22
2005-03-01,0.3
2005-04-01,0.2
2005-05-01,0.3
2005-06-01,0.24
2005-07-01,0.72
2005-08-01,2.0
2005-09-01,11.84
2005-10-01,0.32
2005-11-01,0.24
2005-12-01,0.2
2006-01-01,0.22
2006-02-01,0.22
2006-03-01,0.26
2006-04-01,0.28
2006-05-01,0.36
2006-06-01,0.28
2006-07-01,0.28
2006-08-01,0.18
2006-09-01,0.24
2006-10-01,0.2
2006-11-01,0.16
2006-12-01,0.14
2007-01-01,0.32
2007-02-01,0.18
2007-03-01,0.2
2007-04-01,0.28
2007-05-01,0.34
2007-06-01,0.48
2007-07-01,0.64
2007-08-01,0.58
2007-09-01,0.66
2007-10-01,1.3
2007-11-01,2.1
2007-12-01,7.52
2008-01-01,19.4
2008-02-01,44.28
2008-03-01,62.7
2008-04-01,76.88
2008-05-01,83.78
2008-06-01,88.14
2008-07-01,96.26
2008-08-01,99.48
2008-09-01,99.78
2008-10-01,89.24
2008-11-01,99.6
2008-12-01,99.76
2009-01-01,99.78
2009-02-01,99.68
2009-03-01,99.6
2009-04-01,97.62
2009-05-01,90.28
2009-06-01,66.2
2009-07-01,3.34
2009-08-01,0.98
2009-09-01,0.74
2009-10-01,0.6
2009-11-01,0.32
2009-12-01,0.34
2010-01-01,0.2
2010-02-01,0.16
2010-03-01,0.14
2010-04-01,0.14
2010-05-01,0.14
2010-06-01,0.72
2010-07-01,0.42
2010-08-01,0.18
2010-09-01,0.16
2010-10-01,0.22
2010-11-01,0.14
2010-12-01,0.12
2011-01-01,0.2
2011-02-01,0.28
2011-03-01,0.1
2011-04-01,0.4
2011-05-01,0.24
2011-06-01,0.06
2011-07-01,0.04
2011-08-01,0.04
2011-09-01,0.1
2011-10-01,0.08
2011-11-01,0.18
2011-12-01,0.06
2012-01-01,0.1
2012-02-01,0.14
2012-03-01,0.38
2012-04-01,0.18
2012-05-01,0.28
2012-06-01,0.22
2012-07-01,0.22
2012-08-01,0.3
2012-09-01,0.14
2012-10-01,0.14
2012-11-01,0.04
2012-12-01,0.08
2013-01-01,0.06
2013-02-01,0.1
2013-03-01,0.18
2013-04-01,0.14
2013-05-01,0.1
2013-06-01,0.26
2013-07-01,0.32
2013-08-01,0.22
2013-09-01,0.24
2013-10-01,0.34
2013-11-01,0.2
2013-12-01,0.28
2014-01-01,0.32
2014-02-01,0.16
2014-03-01,0.12
2014-04-01,0.12
2014-05-01,0.18
2014-06-01,0.14
2014-07-01,0.2
2014-08-01,0.2
2014-09-01,0.22
2014-10-01,0.24
2014-11-01,0.26
2014-12-01,0.36
2015-01-01,1.04
2015-02-01,1.56
2015-03-01,1.52
2015-04-01,1.14
2015-05-01,1.04
2015-06-01,1.04
2015-07-01,0.6
2015-08-01,0.66
2015-09-01,0.84
2015-10-01,1.0
2015-11-01,1.4
2015-12-01,1.04
2016-01-01,0.84
2016-02-01,1.1
2016-03-01,1.0
2016-04-01,0.74
2016-05-01,0.54
2016-06-01,0.3
2016-07-01,0.32
2016-08-01,0.32
2016-09-01,0.26
2016-10-01,0.24
2016-11-01,0.3
2016-12-01,0.2
2017-01-01,0.36
2017-02-01,0.42
2017-03-01,0.24
2017-04-01,0.24
2017-05-01,0.32
2017-06-01,0.4
2017-07-01,0.46
2017-08-01,0.38
2017-09-01,0.28
2017-10-01,0.26
2017-11-01,0.26
2017-12-01,0.26
2018-01-01,0.38
2018-02-01,0.14
2018-03-01,0.22
2018-04-01,0.22
2018-05-01,0.44
2018-06-01,0.24
2018-07-01,0.22
2018-08-01,0.24
2018-09-01,0.4
2018-10-01,0.42
2018-11-01,0.38
2018-12-01,0.38
2019-01-01,0.8
2019-02-01,0.92
2019-03-01,0.84
2019-04-01,0.9
2019-05-01,0.62
2019-06-01,0.72
2019-07-01,0.74
2019-08-01,0.46
2019-09-01,1.1
2019-10-01,1.98
2019-11-01,0.64
2019-12-01,0.98
2020-01-01,0.34
2020-02-01,0.26
2020-03-01,100.0
2020-04-01,100.0
2020-05-01,0.22
2020-06-01,0.2
2020-07-01,0.1
2020-08-01,0.08
2020-09-01,0.08
2020-10-01,0.16
2020-11-01,0.56
2020-12-01,0.18
2021-01-01,0.1
2021-02-01,0.06
2021-03-01,0.06
2021-04-01,0.4
2021-05-01,0.2
2021-06-01,0.18
2021-07-01,0.14
2021-08-01,0.74
2021-09-01,0.8
2021-10-01,0.12
2021-11-01,0.12
2021-12-01,0.42
2022-01-01,0.44
2022-02-01,0.22
2022-03-01,0.28
2022-04-01,0.44
2022-05-01,0.64
2022-06-01,0.38
2022-07-01,0.12
2022-08-01,0.18
2022-09-01,0.26
2022-10-01,0.54
2022-11-01,1.36
2022-12-01,1.36
2023-01-01,0.22
2023-02-01,0.46
2023-03-01,0.42
2023-04-01,0.28
2023-05-01,0.3
2023-06-01,0.32
2023-07-01,0.18
2023-08-01,0.36
2023-09-01,0.36
2023-10-01,0.64
2023-11-01,0.38
2023-12-01,0.46
2024-01-01,0.7
2024-02-01,0.32
2024-03-01,0.42
2024-04-01,0.36
2024-05-01,0.28
