Date,Total wheat milled ,Total wheat flour produced ,Millfeeds produced 
2017-06-01,256,206.0,65.0
2017-07-01,269,188.0,60.0
2017-08-01,266,210.0,65.0
2017-09-01,273,205.0,62.0
2017-10-01,281,212.0,64.0
2017-11-01,279,206.0,63.0
2017-12-01,258,189.0,57.0
2018-01-01,269,205.0,60.0
2018-02-01,242,184.0,55.0
2018-03-01,259,193.0,61.0
2018-04-01,249,191.0,58.0
2018-05-01,278,208.0,60.0
2018-06-01,261,197.0,60.0
2018-07-01,273,204.0,63.0
2018-08-01,282,209.0,65.0
2018-09-01,262,198.0,61.0
2018-10-01,279,211.0,66.0
2018-11-01,287,216.0,68.0
2018-12-01,249,188.0,58.0
2019-01-01,273,206.0,64.0
2019-02-01,236,177.0,55.0
2019-03-01,273,208.0,62.0
2019-04-01,259,199.0,61.0
2019-05-01,281,213.0,65.0
2019-06-01,248,190.0,57.0
2019-07-01,277,213.0,63.0
2019-08-01,280,217.0,66.0
2019-09-01,266,205.0,61.0
2019-10-01,282,218.0,66.0
2019-11-01,279,215.0,64.0
2019-12-01,247,190.0,57.0
2020-01-01,273,206.0,62.0
2020-02-01,244,183.0,57.0
2020-03-01,284,216.0,65.0
2020-04-01,256,195.0,59.0
2020-05-01,259,198.0,60.0
2020-06-01,271,207.0,62.0
2020-07-01,277,208.0,63.0
2020-08-01,288,218.0,66.0
2020-09-01,286,217.0,66.0
2020-10-01,290,222.0,65.0
2020-11-01,283,218.0,64.0
2020-12-01,256,200.0,60.0
2021-01-01,254,197.0,59.0
2021-02-01,229,181.0,53.0
2021-03-01,267,210.0,61.0
2021-04-01,251,196.0,57.0
2021-05-01,248,191.0,56.0
2021-06-01,265,206.0,61.0
2021-07-01,261,205.0,60.0
2021-08-01,266,206.0,62.0
2021-09-01,273,210.0,63.0
2021-10-01,277,216.0,65.0
2021-11-01,281,217.0,66.0
2021-12-01,263,198.0,63.0
2022-01-01,260,201.0,60.0
2022-02-01,265,198.0,60.0
2022-03-01,276,208.0,63.0
2022-04-01,267,204.0,62.0
2022-05-01,273,207.0,63.0
2022-06-01,275,207.0,64.0
2022-07-01,277,206.0,64.0
2022-08-01,281,210.0,65.0
2022-09-01,292,221.0,68.0
2022-10-01,280,214.0,64.0
2022-11-01,283,217.0,64.0
2022-12-01,261,196.0,57.0
2023-01-01,269,205.0,60.0
2023-02-01,251,192.0,56.0
2023-03-01,292,223.0,66.0
2023-04-01,248,191.0,56.0
2023-05-01,282,212.0,63.0
2023-06-01,278,211.0,63.0
2023-07-01,275,209.0,62.0
2023-08-01,293,220.0,67.0
2023-09-01,293,218.0,65.0
2023-10-01,289,216.0,64.0
2023-11-01,301,225.0,67.0
2023-12-01,254,191.0,58.0
