DATE,RECPROUSM156N
2017-07-01,0.3
2017-08-01,0.3
2017-09-01,0.06
2017-10-01,0.0
2017-11-01,0.04
2017-12-01,0.12
2018-01-01,0.26
2018-02-01,0.1
2018-03-01,0.06
2018-04-01,0.04
2018-05-01,0.24
2018-06-01,0.02
2018-07-01,0.14
2018-08-01,0.06
2018-09-01,0.34
2018-10-01,0.42
2018-11-01,0.34
2018-12-01,0.3
2019-01-01,1.02
2019-02-01,1.1
2019-03-01,0.66
2019-04-01,0.72
2019-05-01,0.48
2019-06-01,0.28
2019-07-01,0.48
2019-08-01,0.26
2019-09-01,0.92
2019-10-01,1.36
2019-11-01,0.42
2019-12-01,0.52
2020-01-01,0.3
2020-02-01,0.1
2020-03-01,100.0
2020-04-01,100.0
2020-05-01,0.02
2020-06-01,0.08
2020-07-01,0.06
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,0.0
2020-11-01,0.32
2020-12-01,0.08
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.28
2021-05-01,0.12
2021-06-01,0.02
2021-07-01,0.02
2021-08-01,0.58
2021-09-01,0.48
2021-10-01,0.02
2021-11-01,0.0
2021-12-01,0.22
2022-01-01,0.36
2022-02-01,0.08
2022-03-01,0.04
2022-04-01,0.24
2022-05-01,0.22
2022-06-01,0.1
2022-07-01,0.04
2022-08-01,0.08
2022-09-01,0.14
2022-10-01,0.32
2022-11-01,0.38
2022-12-01,0.2
2023-01-01,0.04
2023-02-01,0.3
2023-03-01,0.38
2023-04-01,0.16
2023-05-01,0.12
2023-06-01,0.24
2023-07-01,0.06
2023-08-01,0.06
2023-09-01,0.06
2023-10-01,0.28
2023-11-01,0.14
2023-12-01,0.28
2024-01-01,0.7
2024-02-01,0.1
2024-03-01,0.22
2024-04-01,0.16
2024-05-01,0.06
2024-06-01,0.22
2024-07-01,0.88
2024-08-01,0.34
