"Employment, average hourly and weekly earnings (including overtime), and average weekly hours for the industrial aggregate excluding unclassified businesses, monthly, seasonally adjusted c 1 2 3 4 5 6 7 8 9 10 11"
"Frequency: Monthly"
"Table: 14-10-0222-01 (formerly CANSIM 281-0049)"
"Release date: 2024-06-27"
"Geography: Canada, Province or territory"
"August 2011","872.63"
"September 2011","872.28"
"October 2011","881.79"
"November 2011","880.31"
"December 2011","880.94"
"January 2012","884.91"
"February 2012","881.06"
"March 2012","887.01"
"April 2012","889.63"
"May 2012","889.93"
"June 2012","893.74"
"July 2012","900.48"
"August 2012","904.09"
"September 2012","902.38"
"October 2012","902.88"
"November 2012","903.82"
"December 2012","903.22"
"January 2013","900.71"
"February 2013","905.29"
"March 2013","903.02"
"April 2013","904.54"
"May 2013","912.92"
"June 2013","910.39"
"July 2013","909.56"
"August 2013","911.40"
"September 2013","912.74"
"October 2013","916.50"
"November 2013","923.00"
"December 2013","924.35"
"January 2014","923.34"
"February 2014","926.58"
"March 2014","926.82"
"April 2014","931.54"
"May 2014","935.80"
"June 2014","936.72"
"July 2014","942.44"
"August 2014","940.20"
"September 2014","940.26"
"October 2014","941.93"
"November 2014","938.78"
"December 2014","939.82"
"January 2015","948.62"
"February 2015","949.67"
"March 2015","951.64"
"April 2015","954.18"
"May 2015","948.15"
"June 2015","953.17"
"July 2015","957.10"
"August 2015","945.19"
"September 2015","954.12"
"October 2015","955.50"
"November 2015","951.50"
"December 2015","954.61"
"January 2016","949.91"
"February 2016","954.03"
"March 2016","955.68"
"April 2016","953.03"
"May 2016","954.20"
"June 2016","956.86"
"July 2016","957.06"
"August 2016","958.90"
"September 2016","955.84"
"October 2016","955.16"
"November 2016","960.07"
"December 2016","967.96"
"January 2017","967.03"
"February 2017","964.46"
"March 2017","966.84"
"April 2017","971.10"
"May 2017","969.15"
"June 2017","971.93"
"July 2017","969.84"
"August 2017","976.99"
"September 2017","986.04"
"October 2017","983.70"
"November 2017","991.21"
"December 2017","991.87"
"January 2018","991.76"
"February 2018","998.86"
"March 2018","997.92"
"April 2018","993.21"
"May 2018","993.28"
"June 2018","1,001.97"
"July 2018","1,000.02"
"August 2018","1,005.90"
"September 2018","1,001.10"
"October 2018","1,007.76"
"November 2018","1,011.80"
"December 2018","1,009.65"
"January 2019","1,009.58"
"February 2019","1,009.54"
"March 2019","1,014.58"
"April 2019","1,017.32"
"May 2019","1,028.61"
"June 2019","1,022.33"
"July 2019","1,028.00"
"August 2019","1,032.00"
"September 2019","1,039.33"
"October 2019","1,046.72"
"November 2019","1,043.26"
"December 2019","1,046.37"
"January 2020","1,046.73"
"February 2020","1,045.52"
"March 2020","1,046.41"
"April 2020","1,112.71"
"May 2020","1,132.41"
"June 2020","1,117.03"
"July 2020","1,112.48"
"August 2020","1,108.83"
"September 2020","1,108.18"
"October 2020","1,108.19"
"November 2020","1,113.59"
"December 2020","1,120.03"
"January 2021","1,129.41"
"February 2021","1,134.17"
"March 2021","1,117.87"
"April 2021","1,123.08"
"May 2021","1,128.26"
"June 2021","1,122.11"
"July 2021","1,128.57"
"August 2021","1,132.48"
"September 2021","1,135.56"
"October 2021","1,134.51"
"November 2021","1,133.60"
"December 2021","1,142.05"
"January 2022","1,150.95"
"February 2022","1,158.96"
"March 2022","1,165.84"
"April 2022","1,159.66"
"May 2022","1,157.75"
"June 2022","1,161.59"
"July 2022","1,162.77"
"August 2022","1,167.55"
"September 2022","1,170.80"
"October 2022","1,174.08"
"November 2022","1,178.34"
"December 2022","1,174.34"
"January 2023","1,182.17"
"February 2023","1,179.06"
"March 2023","1,185.85"
"April 2023","1,196.08"
"May 2023","1,201.00"
"June 2023","1,204.74"
"July 2023","1,213.21"
"August 2023","1,214.31"
"September 2023","1,217.47"
"October 2023","1,220.31"
"November 2023","1,224.38"
"December 2023","1,219.90"
"January 2024","1,226.39"
"February 2024","1,230.05"
"March 2024","1,234.94"
"April 2024","1,240.18"

Symbol legend:
A, data quality: excellent
B, data quality: very good


"Table Corrections:"
Date,Note
"","Average weekly earnings for the industrial aggregate, excluding unclassified businesses [11-91N] in Alberta for February 2004, 2008 and 2012 have been corrected."



Footnotes:
1,"The quality indicators take into account various factors that affect the quality of the data, notably the CV, the non-response errors and the imputation errors. Quality indicators indicate the following: A - Excellent; B - Very good; C - Good; D - Acceptable; E - Use with caution; F - Too unreliable to publish or sample size is too small to produce reliable estimates."
2,"Some series exhibit no clear seasonal pattern. In such cases the data are not adjusted."
3,"Industrial aggregate covers all industrial sectors except those primarily involved in agriculture, fishing and trapping, private household services, religious organisations and the military personnel of the defence services."
4,"Unclassified businesses (00) are businesses for which the industrial classification (North American Industry Classification System [NAICS] 2022 Version 1.0) has yet to be determined."
5,"Excludes unclassified businesses unless otherwise mentioned."
6,"The introduction of administrative data in 2001 and the associated change in methodology resulted in level shifts for some series. This affects the comparability of pre- and post-2001 estimates."
7,"Estimates for the latest reference month are preliminary."
8,"Earnings data are based on gross payroll before source deductions."
9,"Average weekly earnings for the industrial aggregate, excluding unclassified businesses [11-91N] in Alberta for February 2004, 2008 and 2012 have been corrected."
10,"The following variables for Canada, the provinces and territories have been corrected for January 2013: Employment for all employees for the industrial aggregate, excluding unclassified businesses [11-91N]; and Average weekly hours including overtime for hourly employees for the industrial aggregate, excluding unclassified businesses [11-91N]."
11,"Industry estimates in this table are based on the 2022 North American Industry Classification System (NAICS) Version 1.0."



"How to cite: Statistics Canada. Table 14-10-0222-01  Employment, average hourly and weekly earnings (including overtime), and average weekly hours for the industrial aggregate excluding unclassified businesses, monthly, seasonally adjusted"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410022201
