index,"Crude oil, average"
1993-12-01,13.77
1994-01-01,14.13
1994-02-01,13.78
1994-03-01,13.62
1994-04-01,15.08
1994-05-01,16.28
1994-06-01,17.17
1994-07-01,17.88
1994-08-01,17.0
1994-09-01,16.2
1994-10-01,16.47
1994-11-01,17.08
1994-12-01,15.94
1995-01-01,16.9
1995-02-01,17.42
1995-03-01,17.35
1995-04-01,18.65
1995-05-01,18.42
1995-06-01,17.36
1995-07-01,16.08
1995-08-01,16.47
1995-09-01,16.82
1995-10-01,16.12
1995-11-01,16.74
1995-12-01,17.87
1996-01-01,17.8
1996-02-01,17.7
1996-03-01,19.4
1996-04-01,20.66
1996-05-01,19.06
1996-06-01,18.51
1996-07-01,19.59
1996-08-01,20.44
1996-09-01,22.26
1996-10-01,23.61
1996-11-01,22.39
1996-12-01,23.62
1997-01-01,23.23
1997-02-01,20.42
1997-03-01,19.33
1997-04-01,17.88
1997-05-01,19.37
1997-06-01,17.92
1997-07-01,18.33
1997-08-01,18.7
1997-09-01,18.66
1997-10-01,20.04
1997-11-01,19.09
1997-12-01,17.09
1998-01-01,15.0
1998-02-01,14.1
1998-03-01,13.12
1998-04-01,13.5
1998-05-01,14.03
1998-06-01,12.48
1998-07-01,12.7
1998-08-01,12.49
1998-09-01,13.8
1998-10-01,13.26
1998-11-01,11.88
1998-12-01,10.41
1999-01-01,11.44
1999-02-01,10.75
1999-03-01,13.17
1999-04-01,15.87
1999-05-01,16.06
1999-06-01,16.39
1999-07-01,18.99
1999-08-01,20.27
1999-09-01,22.7
1999-10-01,21.95
1999-11-01,24.16
1999-12-01,25.1
2000-01-01,25.31
2000-02-01,27.22
2000-03-01,27.49
2000-04-01,23.47
2000-05-01,27.19
2000-06-01,29.62
2000-07-01,28.18
2000-08-01,29.26
2000-09-01,32.08
2000-10-01,31.4
2000-11-01,32.33
2000-12-01,25.2
2001-01-01,25.96
2001-02-01,27.24
2001-03-01,25.02
2001-04-01,25.72
2001-05-01,27.55
2001-06-01,26.97
2001-07-01,24.8
2001-08-01,25.82
2001-09-01,25.21
2001-10-01,20.73
2001-11-01,18.69
2001-12-01,18.52
2002-01-01,19.15
2002-02-01,19.98
2002-03-01,23.64
2002-04-01,25.43
2002-05-01,25.67
2002-06-01,24.49
2002-07-01,25.75
2002-08-01,26.78
2002-09-01,28.28
2002-10-01,27.53
2002-11-01,24.54
2002-12-01,27.89
2003-01-01,30.75
2003-02-01,32.88
2003-03-01,30.36
2003-04-01,25.56
2003-05-01,26.06
2003-06-01,27.92
2003-07-01,28.59
2003-08-01,29.68
2003-09-01,26.88
2003-10-01,29.01
2003-11-01,29.12
2003-12-01,29.97
2004-01-01,31.37
2004-02-01,31.33
2004-03-01,33.67
2004-04-01,33.71
2004-05-01,37.56
2004-06-01,35.54
2004-07-01,37.89
2004-08-01,42.08
2004-09-01,41.6
2004-10-01,46.88
2004-11-01,42.13
2004-12-01,39.04
2005-01-01,42.97
2005-02-01,44.82
2005-03-01,50.94
2005-04-01,50.64
2005-05-01,47.83
2005-06-01,53.89
2005-07-01,56.37
2005-08-01,61.89
2005-09-01,61.69
2005-10-01,58.19
2005-11-01,55.04
2005-12-01,56.43
2006-01-01,62.46
2006-02-01,59.7
2006-03-01,60.93
2006-04-01,67.97
2006-05-01,68.68
2006-06-01,68.29
2006-07-01,72.45
2006-08-01,71.81
2006-09-01,62.12
2006-10-01,57.91
2006-11-01,58.14
2006-12-01,60.99
2007-01-01,53.52
2007-02-01,57.56
2007-03-01,60.6
2007-04-01,65.06
2007-05-01,65.16
2007-06-01,68.19
2007-07-01,73.6
2007-08-01,70.13
2007-09-01,76.76
2007-10-01,81.97
2007-11-01,91.34
2007-12-01,89.52
2008-01-01,90.69
2008-02-01,93.39
2008-03-01,101.84
2008-04-01,108.76
2008-05-01,122.63
2008-06-01,131.52
2008-07-01,132.83
2008-08-01,114.57
2008-09-01,99.66
2008-10-01,72.69
2008-11-01,53.97
2008-12-01,41.34
2009-01-01,43.86
2009-02-01,41.84
2009-03-01,46.65
2009-04-01,50.28
2009-05-01,58.15
2009-06-01,69.15
2009-07-01,64.67
2009-08-01,71.63
2009-09-01,68.35
2009-10-01,74.08
2009-11-01,77.55
2009-12-01,74.88
2010-01-01,77.12
2010-02-01,74.76
2010-03-01,79.3
2010-04-01,84.18
2010-05-01,75.62
2010-06-01,74.73
2010-07-01,74.58
2010-08-01,75.83
2010-09-01,76.12
2010-10-01,81.72
2010-11-01,84.53
2010-12-01,90.01
2011-01-01,92.69
2011-02-01,97.91
2011-03-01,108.65
2011-04-01,116.24
2011-05-01,108.07
2011-06-01,105.85
2011-07-01,107.92
2011-08-01,100.49
2011-09-01,100.82
2011-10-01,99.85
2011-11-01,105.41
2011-12-01,104.23
2012-01-01,107.07
2012-02-01,112.69
2012-03-01,117.79
2012-04-01,113.67
2012-05-01,104.09
2012-06-01,90.73
2012-07-01,96.75
2012-08-01,105.27
2012-09-01,106.28
2012-10-01,103.41
2012-11-01,101.17
2012-12-01,101.19
2013-01-01,105.1
2013-02-01,107.64
2013-03-01,102.52
2013-04-01,98.85
2013-05-01,99.37
2013-06-01,99.74
2013-07-01,105.26
2013-08-01,108.16
2013-09-01,108.76
2013-10-01,105.43
2013-11-01,102.63
2013-12-01,105.48
2014-01-01,102.1
2014-02-01,104.83
2014-03-01,104.04
2014-04-01,104.87
2014-05-01,105.71
2014-06-01,108.37
2014-07-01,105.23
2014-08-01,100.05
2014-09-01,95.85
2014-10-01,86.08
2014-11-01,76.99
2014-12-01,60.7
2015-01-01,47.11
2015-02-01,54.79
2015-03-01,52.83
2015-04-01,57.54
2015-05-01,62.51
2015-06-01,61.31
2015-07-01,54.34
2015-08-01,45.69
2015-09-01,46.28
2015-10-01,46.96
2015-11-01,43.11
2015-12-01,36.57
2016-01-01,29.78
2016-02-01,31.03
2016-03-01,37.34
2016-04-01,40.75
2016-05-01,45.94
2016-06-01,47.69
2016-07-01,44.13
2016-08-01,44.88
2016-09-01,45.04
2016-10-01,49.29
2016-11-01,45.26
2016-12-01,52.62
2017-01-01,53.59
2017-02-01,54.35
2017-03-01,50.9
2017-04-01,52.16
2017-05-01,49.89
2017-06-01,46.17
2017-07-01,47.66
2017-08-01,49.94
2017-09-01,52.95
2017-10-01,54.92
2017-11-01,59.93
2017-12-01,61.19
2018-01-01,66.23
2018-02-01,63.46
2018-03-01,64.17
2018-04-01,68.79
2018-05-01,73.43
2018-06-01,71.98
2018-07-01,72.67
2018-08-01,71.08
2018-09-01,75.36
2018-10-01,76.73
2018-11-01,62.32
2018-12-01,53.96
2019-01-01,56.58
2019-02-01,61.13
2019-03-01,63.79
2019-04-01,68.58
2019-05-01,66.83
2019-06-01,59.76
2019-07-01,61.48
2019-08-01,57.67
2019-09-01,60.04
2019-10-01,57.27
2019-11-01,60.4
2019-12-01,63.35
2020-01-01,61.63
2020-02-01,53.35
2020-03-01,32.2
2020-04-01,21.04
2020-05-01,30.38
2020-06-01,39.46
2020-07-01,42.07
2020-08-01,43.44
2020-09-01,40.6
2020-10-01,39.9
2020-11-01,42.3
2020-12-01,48.73
2021-01-01,53.6
2021-02-01,60.46
2021-03-01,63.83
2021-04-01,62.95
2021-05-01,66.4
2021-06-01,71.8
2021-07-01,73.28
2021-08-01,68.87
2021-09-01,72.8
2021-10-01,82.06
2021-11-01,79.92
2021-12-01,72.87
2022-01-01,83.92
2022-02-01,93.54
2022-03-01,112.4
2022-04-01,103.41
2022-05-01,110.1
2022-06-01,116.8
2022-07-01,105.08
2022-08-01,95.97
2022-09-01,88.22
2022-10-01,90.33
2022-11-01,87.38
2022-12-01,78.07
2023-01-01,80.41
2023-02-01,80.25
2023-03-01,76.47
2023-04-01,82.46
2023-05-01,74.12
2023-06-01,73.26
2023-07-01,78.98
2023-08-01,84.72
2023-09-01,92.22
2023-10-01,89.08
2023-11-01,81.35
2023-12-01,75.72
2024-01-01,77.67
2024-02-01,80.55
2024-03-01,83.55
2024-04-01,88.01
2024-05-01,81.45
2024-06-01,81.21
